Manufacturer Name,Model_Name,Category of UAS,Sub Category of UAS,Class of UAS
Potensic,POTENSIC A20W,ROTORCRAFT,RPAS,NANO
Potensic,POTENSIC A30W,ROTORCRAFT,RPAS,NANO
Potensic,POTENSIC D58,ROTORCRAFT,RPAS,MICRO
Potensic,POTENSIC D60,ROTORCRAFT,RPAS,MICRO
Potensic,POTENSIC D80 DRONE,ROTORCRAFT,RPAS,MICRO
Potensic,POTENSIC T25,ROTORCRAFT,RPAS,NANO
RC BAZAAR,HILLER 450 PRO-X,ROTORCRAFT,MODEL RPAS,MICRO
RC BAZAAR,PHOENIX TB 6011,ROTORCRAFT,MODEL RPAS,MICRO
RC BAZAAR,SKY SURFER,ROTORCRAFT,MODEL RPAS,MICRO
RC BAZAAR,SKY SURFER V4,AEROPLANE,MODEL RPAS,MICRO
RC FACTORY,FLASH,AEROPLANE,MODEL RPAS,MICRO
RC FACTORY,YAK 55,AEROPLANE,MODEL RPAS,NANO
RC Model,3D FLAT PLANE,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,ACROMASTER,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,ALIGN450PRO,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,ASH-001,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,CALMATO1,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,CALMATO2,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,DOG FIGHTER,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,EXTRA 330S,AEROPLANE,MODEL RPAS,MICRO
RC Model,FREE X,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,FUTURA,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,GP CAP,ROTORCRAFT,MODEL RPAS,SMALL
RC Model,GP MINI STICK,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,HEXACOPTER,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,HK450,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,JOKER,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,MINI QUAD 2,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,MINIQUAD,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,MOJO 65 20CC,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,MXS-R 70,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,M-ZONE 1,ROTORCRAFT,MODEL RPAS,NANO
RC Model,M-ZONE 2,ROTORCRAFT,MODEL RPAS,NANO
RC Model,PANDA SPORT,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,PILATUS PC21,ROTORCRAFT,MODEL RPAS,SMALL
RC Model,PT40,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,SWIFT 3D,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,SWIFT WING,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,TBS DISCOVERY,ROTORCRAFT,MODEL RPAS,MICRO
RC Model,TT Mk3,ROTORCRAFT,MODEL RPAS,SMALL
RC Model,TUCAN,AEROPLANE,MODEL RPAS,MICRO
RC Model,TWINSTAR,ROTORCRAFT,MODEL RPAS,MICRO
Readytosky,S500,ROTORCRAFT,RPAS,MICRO
RFLY INNOVATIONS PRIVATE LIMITED,RFLY-MICRO X1,ROTORCRAFT,RPAS,MICRO
RYZE Tech Co Ltd,TELLO,ROTORCRAFT,RPAS,NANO
RYZE Tech Co Ltd,TELLO BOOST COMBO,ROTORCRAFT,RPAS,NANO
RYZE Tech Co Ltd,TELLO EDU,ROTORCRAFT,RPAS,NANO
RYZE Tech Co Ltd,TELLO IRON MAN,ROTORCRAFT,RPAS,NANO
Sagar Defence Engineering Private Limited,Spectre MP,ROTORCRAFT,RPAS,SMALL
Sagar Defence Engineering Private Limited,SPECTRE 2M,ROTORCRAFT,RPAS,SMALL
Seagull Model,"SEAGULL 40 LOW WING
 SPORT",AEROPLANE,RPAS,SMALL
Seagull Model,"SEAGULL ARISING STAR 40-46
 TR",AEROPLANE,RPAS,SMALL
Seagull Model,"SEAGULL EXTRA 260 180
 1820M",AEROPLANE,RPAS,SMALL
Seagull Model,"SEAGULL SEA10 40 LOW WING
 T",AEROPLANE,RPAS,SMALL
Seagull Model,"Seagull SEA334GEAR Giant
 Scale",AEROPLANE,RPAS,SMALL
SenseFly,ALBRIS,ROTORCRAFT,RPAS,MICRO
SenseFly,eBee,AEROPLANE,RPAS,MICRO
SenseFly,eBee X,AEROPLANE,RPAS,MICRO
Shandong Joyance Intelligence Technol,JT6L-606,ROTORCRAFT,RPAS,SMALL
Shenzhen HighGreat Innovation Techno,HG-B02A,ROTORCRAFT,RPAS,NANO
Shenzhen Zero Zero Infinity Technology,HOOVER,ROTORCRAFT,RPAS,MICRO
Shift,SHIT RED NANO DRONE,ROTORCRAFT,RPAS,NANO
ShoX,SENTINEL,ROTORCRAFT,RPAS,MICRO
SIG,FOUR STAR 20EP,AEROPLANE,RPAS,MICRO
SIG,PIPER J-3 CUB,AEROPLANE,RPAS,SMALL
SILVERLIT,BUMPER DRONE,ROTORCRAFT,RPAS,MICRO
SIMREX,SIMREX X900,ROTORCRAFT,RPAS,MICRO
Sirius Toys,MAX GYROSCOPE,ROTORCRAFT,RPAS,MICRO
SJRC,F11,ROTORCRAFT,RPAS,MICRO
SJRC,F11 PRO,ROTORCRAFT,RPAS,MICRO
SJRC,S70W,ROTORCRAFT,RPAS,MICRO
SJRC,Z5,ROTORCRAFT,RPAS,NANO
SKY MAX,QUADCOPTER AIRCRAFT,ROTORCRAFT,RPAS,NANO
Skydio,SKYDIO 2,ROTORCRAFT,RPAS,MICRO
Skydio,SKYDIO R1,ROTORCRAFT,RPAS,MICRO
Skydio,SKYDIO X2,ROTORCRAFT,RPAS,MICRO
SNAPTAIN,A15H,ROTORCRAFT,RPAS,MICRO
SNAPTAIN,S5C,ROTORCRAFT,RPAS,MICRO
SNAPTAIN,SP650,ROTORCRAFT,RPAS,SMALL
SX,SX WING,ROTORCRAFT,RPAS,NANO
SYMA,SYMA X8HG,ROTORCRAFT,RPAS,MICRO
SYMA,W1 PRO,ROTORCRAFT,RPAS,NANO
SYMA,X8 PRO,AEROPLANE,RPAS,MICRO
SYMA,S107G,ROTORCRAFT,RPAS,NANO
SYMA,SKY PHANTOM,ROTORCRAFT,RPAS,MICRO
SYMA,W1,ROTORCRAFT,RPAS,NANO
SYMA,X22SW,ROTORCRAFT,RPAS,MICRO
SYMA,X25 PRO,ROTORCRAFT,RPAS,NANO
SYMA,X56W-P,ROTORCRAFT,RPAS,NANO
SYMA,X5C EXPLORERS,ROTORCRAFT,RPAS,NANO
SYMA,X5HC,ROTORCRAFT,RPAS,NANO
SYMA,X5SC,ROTORCRAFT,RPAS,NANO
SYMA,X5SW,ROTORCRAFT,RPAS,MICRO
SYMA,X5UW,ROTORCRAFT,RPAS,NANO
SYMA,X5UW-D,ROTORCRAFT,RPAS,NANO
SYMA,X8HG,ROTORCRAFT,RPAS,NANO
SYMA,X8SW,ROTORCRAFT,RPAS,MICRO
SYMA,Z-3,ROTORCRAFT,RPAS,NANO
SZ DJI Technology Co. Ltd.,AGRAS MG-1S,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,DJI AIR 2S,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,DJI FPV,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,DJI MAVIC 3,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,DJI MINI 2,ROTORCRAFT,RPAS,NANO
SZ DJI Technology Co. Ltd.,DJI MINI SE,ROTORCRAFT,RPAS,NANO
SZ DJI Technology Co. Ltd.,INSPIRE 1,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,INSPIRE 1 PRO,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,INSPIRE 1 PRO/RAW,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,INSPIRE 1 RAW,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,INSPIRE 2,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,M200,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,M200 V2,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,M210,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,M210 RTK,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,M210 RTK V2,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,M210 V2,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,MATRICE 100,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,MATRICE 200 SERIES,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,MATRICE 300 RTK,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,MATRICE 600,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,MATRICE 600 PRO,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,MAVIC,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC 2,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC 2 ENTERPRISE,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,"MAVIC 2 ENTERPRISE
 ADVANCE",ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC 2 ENTERPRISE DUAL,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC 2 ENTERPRISE SERIES,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC 2 PRO,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC 2 ZOOM,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC 3,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC AIR,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC AIR 2,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC MINI,ROTORCRAFT,RPAS,NANO
SZ DJI Technology Co. Ltd.,MAVIC MINI SE,ROTORCRAFT,RPAS,NANO
SZ DJI Technology Co. Ltd.,MAVIC PRO,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,MAVIC PRO PLATINUM,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 1,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 2,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 2 VISION,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 2 VISION+,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 3,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 3 4K,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 3 ADVANCED,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 3 PROFESSIONAL,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 3 SE,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 3 STANDARD,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 4,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 4 ADVANCED,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 4 PRO,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 4 PRO OBSIDIAN,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 4 PRO V2.0,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 4 PRO+,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,PHANTOM 4 RTK,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,SPARK,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,SPERADING WING S900,AEROPLANE,RPAS,SMALL
SZ DJI Technology Co. Ltd.,SPREADING WINGS S1000,ROTORCRAFT,RPAS,SMALL
SZ DJI Technology Co. Ltd.,TELLO,ROTORCRAFT,RPAS,NANO
SZ DJI Technology Co. Ltd.,TELLO BOOST COMBO,ROTORCRAFT,RPAS,MICRO
SZ DJI Technology Co. Ltd.,TELLO EDU,ROTORCRAFT,RPAS,NANO
Team BlackSheep,TBS Oblivion,ROTORCRAFT,RPAS,MICRO
TechEagle Innovations Private Limited,AQUILA X2,HYBRID,RPAS,SMALL
Techeagle Innovations Private Limited,PEREGRINE X,ROTORCRAFT,RPAS,SMALL
Techone Hobby,PIAGET,AEROPLANE,RPAS,MICRO
Thanos Technologies Private Limited,ABHYASA,ROTORCRAFT,RPAS,SMALL
Thanos Technologies Private Limited,STRINGER,ROTORCRAFT,RPAS,SMALL
Thanos Technologies Private Limited,Syena-H10,ROTORCRAFT,RPAS,MEDIUM
Thanos Technologies Private Limited,SYENA-Q10,ROTORCRAFT,RPAS,MEDIUM
Thanos Technologies Private Limited,SYENA-Q5,ROTORCRAFT,RPAS,SMALL
The Flyer's Bay,NANO 2.0,ROTORCRAFT,RPAS,NANO
The Flyer's Bay,SKY COBRA,ROTORCRAFT,RPAS,MICRO
THREE D ROBOTICS,SOLO,ROTORCRAFT,RPAS,MICRO
Threod Systems,EOS C VTOL,AEROPLANE,RPAS,SMALL
Throttle Aerospace Systems Pvt Ltd,LOOKOUT VTOL-LITE,ROTORCRAFT,RPAS,MICRO
Throttle Aerospace Systems Pvt Ltd,MEDCOPTER X4,ROTORCRAFT,RPAS,SMALL
Throttle Aerospace Systems Pvt Ltd,MEDCOPTER X8,ROTORCRAFT,RPAS,SMALL
Thunder Tiger,MINI TITAN,ROTORCRAFT,RPAS,MICRO
Thunder Tiger,RAPTOR 50,ROTORCRAFT,RPAS,MICRO
Toysky,S167,ROTORCRAFT,RPAS,NANO
UDIRC TECHNOLOGY CO LTD,U818A,AEROPLANE,RPAS,NANO
V Max,VISION,ROTORCRAFT,RPAS,NANO
VTOL AVIATION INDIA PVT LTD,AARAV_EHL6,AEROPLANE,RPAS,SMALL
VTOL AVIATION INDIA PVT LTD,AARAV_NX,HYBRID,RPAS,SMALL
VTOL AVIATION INDIA PVT LTD,AAVEG_ENX13,AEROPLANE,RPAS,SMALL
VTOL AVIATION INDIA PVT LTD,ABHIYAAN_NX,AEROPLANE,RPAS,SMALL
VTOL AVIATION INDIA PVT LTD,ARYA_ENX25,AEROPLANE,RPAS,SMALL
VTOL AVIATION INDIA PVT LTD,ARYA_EPR25,AEROPLANE,RPAS,SMALL
Wing Drone,W606-2,ROTORCRAFT,RPAS,MICRO
WLToys,AS350,ROTORCRAFT,RPAS,MICRO
Wltoys,V911,ROTORCRAFT,RPAS,NANO
Wltoys,V977,ROTORCRAFT,RPAS,NANO
XAG,P20,ROTORCRAFT,RPAS,SMALL
Xiaomi Corporation,FIMI A3,ROTORCRAFT,RPAS,MICRO
Xiaomi Corporation,FIMI X8 SE,ROTORCRAFT,RPAS,MICRO
Xiaomi Corporation,MI DRONE,ROTORCRAFT,RPAS,MICRO
Xiaomi Corporation,MI DRONE (1080P VERSION),AEROPLANE,RPAS,MICRO
Xiaomi Corporation,MI DRONE (4K VERSION),ROTORCRAFT,RPAS,MICRO
Xiaomi Corporation,MITU,ROTORCRAFT,RPAS,NANO
XK,XK X350,ROTORCRAFT,RPAS,MICRO
XK,XKK100,ROTORCRAFT,RPAS,MICRO
XKK,K124,ROTORCRAFT,RPAS,MICRO
XKPS,POWER STAR X1,ROTORCRAFT,RPAS,NANO
YUNEEC,BREEZE 4K,ROTORCRAFT,RPAS,MICRO
YUNEEC,H520,ROTORCRAFT,RPAS,MICRO
YUNEEC,MANTIS Q,ROTORCRAFT,RPAS,MICRO
YUNEEC,TYPHOON H PLUS,ROTORCRAFT,RPAS,SMALL
YUNEEC,TYPHOON Q500 4K,ROTORCRAFT,RPAS,MICRO
Zerotech,DOBBY,ROTORCRAFT,RPAS,NANO
zero-x,PULSE,ROTORCRAFT,RPAS,NANO
ZLRC,BEAST SG960 PRO,ROTORCRAFT,RPAS,MICRO
ZLRC,SG 907,ROTORCRAFT,RPAS,NANO
ZLRC,SG907 PRO,ROTORCRAFT,RPAS,NANO
ZMotion Autonomous Systems Pvt Ltd,EXPLORER,ROTORCRAFT,RPAS,SMALL
ZMotion Autonomous Systems Pvt Ltd,MAPBOT,ROTORCRAFT,RPAS,SMALL
VYOMAN AVIATION PVT. LTD.,Vyan 20,HYBRID,RPAS,SMALL
Aviocian Technologies Private Limited,Avio-R1,ROTORCRAFT,RPAS,MICRO
Aviocian Technologies Private Limited,Avio-PS1,ROTORCRAFT,AUTONOMOUS,SMALL
Aviocian Technologies Private Limited,Avio-H1,ROTORCRAFT,RPAS,SMALL
Aviocian Technologies Private Limited,Avio-S1,ROTORCRAFT,RPAS,MICRO
Aviocian Technologies Private Limited,Avio-A1,ROTORCRAFT,AUTONOMOUS,MICRO
Aviocian Technologies Private Limited,RC Aircraft,AEROPLANE,RPAS,MICRO
Aviocian Technologies Private Limited,Avio-AI,ROTORCRAFT,AUTONOMOUS,SMALL
Hubblefly Technologies Pvt Ltd,HF-Agristar,ROTORCRAFT,RPAS,SMALL
Hubblefly Technologies Pvt Ltd,Star Guru,ROTORCRAFT,RPAS,SMALL
INVENGRID INDIA PRIVATE Ltd,Agritics,ROTORCRAFT,RPAS,SMALL
IPAGE UM SERVICES Pvt. Ltd.,SH-600,ROTORCRAFT,RPAS,SMALL
IPAGE UM SERVICES Pvt. Ltd.,X-UAV TALON,AEROPLANE,RPAS,SMALL
IPAGE UM SERVICES Pvt. Ltd.,NIMBUS VTOL3,AEROPLANE,RPAS,SMALL
IPAGE UM SERVICES Pvt. Ltd.,NIMBUS VTOL4,AEROPLANE,RPAS,SMALL
IPAGE UM SERVICES Pvt. Ltd.,NIMBUS VTOL 6,AEROPLANE,RPAS,SMALL
IPAGE UM SERVICES Pvt. Ltd.,SH-400,ROTORCRAFT,RPAS,SMALL
IPAGE UM SERVICES Pvt. Ltd.,Sky Surfer,AEROPLANE,RPAS,MICRO
Foxtech Trade Co. Ltd,NIMBUS VTOL V2,AEROPLANE,RPAS,SMALL
DRONOBOTICS AVIATION DEVELOPERS LLP,Guru-QS,ROTORCRAFT,RPAS,SMALL
DRONOBOTICS AVIATION DEVELOPERS LLP,Guru-AS,AEROPLANE,RPAS,SMALL
DRONOBOTICS AVIATION DEVELOPERS LLP,Guru-HS Hybrid,HYBRID,RPAS,SMALL
ANRA Technologies,AN-EVTOL,ROTORCRAFT,RPAS,SMALL
INVENTGRID INDIA PRIVATE LIMITED,IG Drones,ROTORCRAFT,RPAS,MICRO
Dronobotics Aviation Developers LLP,Guru-AM,AEROPLANE,RPAS,MICRO
RAYS Aviation Technologies LLP,RAYS P1,Rotary,RPAS,Small
Detect Technologies Private Limited,NOCTUA DM,Rotorcraft,RPAS,Small
Detect Technologies Private Limited,NOCTUA MP,Rotorcraft,RPAS,Micro
Detect Technologies Private Limited,NOCTUA DS,Rotorcraft,RPAS,Micro
Detect Technologies Private Limited,NOCTUA DAM,Rotorcraft,RPAS,Small
Detect Technologies Private Limited,NOCTUA DAX SE,Rotorcraft,RPAS,Small
Detect Technologies Private Limited,NOCTUA DP,Rotorcraft,RPAS,Micro
Detect Technologies Private Limited,NOCTUA DN,Rotorcraft,RPAS,Nano
Detect Technologies Private Limited,NOCTUA SP,Rotorcraft,RPAS,Micro
Detect Technologies Private Limited,NOCTUA DAS,Rotorcraft,RPAS,Small
Detect Technologies Private Limited,NOCTUA VN,Rotorcraft,RPAS,Small
Sagar Defence Engineering Private Limited,Spectre 2X,Rotorcraft,RPAS,Small
Sagar Defence Engineering Private Limited,SDE_S3_NP_18032501,Rotorcraft,RPAS,Small
Sagar Defence Engineering Private Limited,Spectre FW2,Aeroplane,RPAS,Small
Sagar Defence Engineering Private Limited,Spectre FW1,Aeroplane,RPAS,Small
Sagar Defence Engineering Private Limited,Spectre Mini,Rotorcraft,RPAS,Micro
ideaForge Technology Pvt Ltd,Q4i-HD,Rotorcraft,RPAS,Small
Asteria Aerospace Pvt Ltd,AT-15,Hybrid,RPAS,Small
RAYS Aviation Technologies LLP,RAYS Intrepid,Rotorcraft,RPAS,Small
Techeagle Innovations Private Limited,Aquila X4,Hybrid,RPAS,Small
Techeagle Innovations Private Limited,PEREGRINE H,Rotorcraft,RPAS,Small
Techeagle Innovations Private Limited,TEZO 420,Rotorcraft,RPAS,Small
PIGEON INNOVATIVE SOLUTIONS LLP,PIS002,Rotorcraft,RPAS,Small
PIGEON INNOVATIVE SOLUTIONS LLP,PIS003,Rotorcraft,RPAS,Small
