company,domain,location
Garuda Aerospace,Agriculture,Chennai
ideaForge Technology,Surveillance and Defense,Mumbai
Tech Eagle,Logistics and Delivery,Bangalore
Throttle Aerospace,Military and Mapping,Bangalore
General Aeronautics,Drone Manufacturing,Bangalore
Paras Aerospace,Multi-domain Drone Solutions,Hyderabad
